,id,title,description,tags,latitude,longitude,context,url_c,owner,all_comments,all_text,ai_caption
0,53457490250,20231215_Birdbuddy_005,Kohlmeise am Birdbuddy-Futterhaus,greattit kohlmeise tit meise vogel bird animal tier 2023 winter birdbuddy feeder futterhaus video,48.248368,16.442627,0,https://live.staticflickr.com/31337/53457490250_0b4bbe9025_c.jpg,25507134@N00,[],Kohlmeise Birdbuddy Futterhaus greattit kohlmeise tit meise vogel bird animal tier winter birdbuddy feeder futterhaus video,there is a bird that is sitting on a ledge
24,53457109895,"Juan de Flandes: Joanna of Castile, Philip the Handsome; ca. 1500","Canon EOS R6 Mark II, Sigma 50/1.4 DG HSM(A), processed in Lightroom.

Kunsthistorisches Museum Wien.

Wikipedia: &quot;Juan de Flandes (&quot;John of Flanders&quot;; c. 1460 – by 1519) was a Flemish painter active in Spain from 1496 to 1519.&quot;

Wikipedia: &quot;Joanna (6 November 1479 – 12 April 1555), historically known as Joanna the Mad (Spanish: Juana la Loca), was the nominal queen of Castile from 1504 and queen of Aragon from 1516 to her death in 1555. She was the daughter of Queen Isabella I of Castile and King Ferdinand II of Aragon. Joanna was married by arrangement to the Austrian archduke Philip the Handsome on 20 October 1496&quot;

Wikipedia:  &quot;Philip the Handsome (22 July 1478 – 25 September 1506), also called the Fair, was ruler of the Burgundian Netherlands and titular Duke of Burgundy from 1482 to 1506, as well as the first Habsburg King of Castile (as Philip I) for a brief time in 1506.

The son of Maximilian of Austria (later Holy Roman Emperor as Maximilian I) and Mary of Burgundy, Philip was not yet four years old when his mother died as a result of a riding accident, and upon her death, he inherited the Burgundian Netherlands. Despite his young age, Philip quickly proved himself an effective ruler beloved by his people in the Low Countries, pursuing policies that favored peace and economic development, while maintaining a steady course of the government building.&quot;

<a href=""https://en.wikipedia.org/wiki/Juan_de_Flandes"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Juan_de_Flandes</a>
<a href=""https://en.wikipedia.org/wiki/Joanna_of_Castile"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Joanna_of_Castile</a>
<a href=""https://en.wikipedia.org/wiki/Philip_I_of_Castile"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Philip_I_of_Castile</a>

<a href=""https://de.wikipedia.org/wiki/Kunsthistorisches_Museum_Wien"" rel=""noreferrer nofollow"">de.wikipedia.org/wiki/Kunsthistorisches_Museum_Wien</a>
<a href=""https://en.wikipedia.org/wiki/Kunsthistorisches_Museum"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Kunsthistorisches_Museum</a>
<a href=""https://www.geschichtewiki.wien.gv.at/Kunsthistorisches_Museum"" rel=""noreferrer nofollow"">www.geschichtewiki.wien.gv.at/Kunsthistorisches_Museum</a>",canoneosr6markii juandeflandes kunst kunsthistorischesmuseum sigma5014dghsma wien österreich vienna austria,48.20378,16.361772,0,https://live.staticflickr.com/65535/53457109895_d333bfd5a8_c.jpg,60030427@N07,[],Juan de Flandes Joanna Castile Philip Handsome Canon EOS Mark II Sigma DG processed Lightroom Kunsthistorisches Museum Wien  de Flandes Flemish painter active Spain  November April historically known Joanna Mad Spanish Juana la Loca nominal queen Castile queen Aragon death daughter Queen Isabella Castile King Ferdinand II Aragon Joanna married arrangement Austrian archduke Philip Handsome October  Handsome July September called Fair ruler Burgundian Netherlands titular Duke Burgundy Habsburg King Castile Philip brief time son Maximilian Austria later Holy Roman Emperor Maximilian Mary Burgundy Philip years old mother died result riding accident death inherited Burgundian Netherlands Despite young age Philip quickly proved effective ruler beloved people Low Countries pursuing policies favored peace economic development maintaining steady course government           juandeflandes kunst kunsthistorischesmuseum wien österreich vienna austria,two paintings of women in renaissance dress are hanging on a wall
27,53455214981,a week after christmas,"Kurt-PInt-Platz, Mariahilf, Vienna, Austria.
©hris Haderer 2024 - All Rights Reserved.",wien österreich stadtspaziergang skyline graffiti symbole zeichen verhaltensweisen originell beobachtungen citywalk symbols signs behaviors original observations leute menschen szenen people scenes,48.191108,16.347686,0,https://live.staticflickr.com/65535/53455214981_7411421168_c.jpg,95118391@N07,[],week christmas Kurt PInt Platz Mariahilf Vienna Austria hris Haderer Rights Reserved wien österreich stadtspaziergang skyline graffiti symbole zeichen verhaltensweisen originell beobachtungen citywalk symbols signs behaviors original observations leute menschen szenen people scenes,arafed pile of trees on the sidewalk in front of a building
29,53455308063,church_bokeh,"... jesuitenkirche in vienna ...
by <a href=""http://www.ewaldmario.com"" rel=""noreferrer nofollow"">www.ewaldmario.com</a>",jesuitenkirche kirche monochrome ewaldmario nikon z5 nikonz5 bokeh contrast composition square schwarzweiss church foreground dof z50mm18s 50mm,48.209052,16.377826,0,https://live.staticflickr.com/65535/53455308063_1b08d3bde0_c.jpg,32299190@N06,"['Absolutely wonderful 👍 ', 'Super depth of field ', 'Creative.... ']",jesuitenkirche vienna jesuitenkirche kirche monochrome ewaldmario nikon bokeh contrast composition square schwarzweiss church foreground dof mm,a close up of a crown on a pedestal in a room
39,53452848632,"2016-10-24 AT Wien 22 Donaustadt, Untere Alte Donau @ Laberlweg, Großes Gänsehäufel",,vienna oxbow lake,48.230013,16.424855,0,https://live.staticflickr.com/65535/53452848632_1c74116499_c.jpg,158438800@N02,[],Wien Donaustadt Untere Alte Donau Laberlweg Großes Gänsehäufel nan vienna oxbow lake,trees are in the background
41,53451771867,"Schottenkirche (ab 1155), Mitte 17. Jh., 1893","Unterseite der Orgelempore: Deckenmalereien (auf Leinwand) von Julius Schmid: Übergabe der Wiener Kirche durch Heinrich II. Jasomirgott and die Schottenmönche, Hl. Franziskus und Hl. Elisabeth (Namenspatrone des Herrscherpaares Franz Joseph und Elisabeth)",andreaalliodj andreaalliodä antoniocarlone barock baroque benedictine benediktiner benediktinerabtei innerestadt juliusschmid kirche kloster marcospazio schottenstift silvestrocarlone stift vienna wien abbey church,48.212015,16.365367,0,https://live.staticflickr.com/65535/53451771867_a5bde0f32b_c.jpg,87629873@N03,[],Schottenkirche ab Mitte Jh Unterseite der Orgelempore Deckenmalereien auf Leinwand von Julius Schmid Übergabe der Wiener Kirche durch Heinrich II Jasomirgott die Schottenmönche Hl Franziskus und Hl Elisabeth Namenspatrone des Herrscherpaares Franz Joseph und Elisabeth andreaalliodj andreaalliodä antoniocarlone barock baroque benedictine benediktiner benediktinerabtei innerestadt juliusschmid kirche kloster marcospazio schottenstift silvestrocarlone stift vienna wien abbey church,there is a ceiling with a painting on it and a door
43,53451258392,PXL_20240105_153210742_01,,nizza monaco reise frankreich polarbeargermanycom,48.19363,16.315472,0,https://live.staticflickr.com/65535/53451258392_fe71a062de_c.jpg,114975005@N05,[],nan nizza monaco reise frankreich polarbeargermanycom,arafed view of a city from an airplane window at dusk
52,53451225841,Donau City vom Schiff aus,"Die Donau City von Süd-Südwest aus gesehen. Von links nach rechts: Donauturm, Ares Tower, STRABAG-Haus, DC Tower 1, Andromeda-Tower, Tech Gate Vienna, Vienna International Centre (halb verdeckt), Danube Flats und Hochhaus Neue Donau",2023 andromedatower arestower dctower1 danube danubeflatsundhochhausneuedonau donau donaucity donaukreuzfahrt emount fluss nacht regen strabaghaus sony sonyalpha sonyalpha7iv sonyfe24105mmf4goss techgatevienna viennainternationalcentre wien österreich,48.224991,16.407408,0,https://live.staticflickr.com/65535/53451225841_5fa3f0527f_c.jpg,192729742@N03,"['Superbe paysage nocturne ', 'Very nice indeed Carsten ', 'Great capture of this night scene, Carsten ', '[https://www.flickr.com/photos/29364835@N02/] merci 🙏 ', '[https://www.flickr.com/photos/78538125@N05/] thanks Pete ', '[https://www.flickr.com/photos/99228543@N04/] thank you bps ']",Donau City vom Schiff aus Die Donau City von Süd Südwest aus gesehen Von links nach rechts Donauturm Ares Tower STRABAG Haus DC Tower Andromeda Tower Tech Gate Vienna Vienna International Centre halb verdeckt Danube Flats und Hochhaus Neue Donau andromedatower arestower danube danubeflatsundhochhausneuedonau donau donaucity donaukreuzfahrt emount fluss nacht regen strabaghaus sony sonyalpha techgatevienna viennainternationalcentre wien österreich,nighttime view of a city skyline with a bridge and a river
53,53451445549,Karl-Borromäus Kirche,"Churches of Vienna: Karl-Borromäus-Kirche

 When you are in Vienna I highly recommend visiting some the countless beautiful churches of Vienna. 
The Central Cemetery church of St. Karl Borromäus is a beautiful example of Art Nouveau architecture in Vienna.

 Bei einem Besuch in Wien empfehle ich, sich etwas Zeit für einige der unzähligen wunderschönen Kirchen in Wien zu nehmen. 
Die Friedhofskirche zum heiligen Karl Borromäus auf dem Wiener Zentralfriedhof ist ein wunderbares Beispiel für den Wiener Jugendstil.",karlborromäuskirche wien vienna church kirche lookup architektur architecture stkarlborromäus zentralfriedhof centralcemetary artnouveau jugendstil kuppel dome,48.150805,16.438058,0,https://live.staticflickr.com/65535/53451445549_f48f49f760_c.jpg,116427736@N08,"['Excellent. ', ""Beautiful point of view.  I'm impressed with what a great job you did keeping all of the angles and lines straight.  I often find that difficult.  Well done! "", 'Einzigartig würde ich sagen. ', '&quot;Thanks for sharing&quot;\n\n<a href=""https://www.flickr.com/groups/460979@N25/""><img src=""https://farm9.staticflickr.com/8240/8455177079_51f388749c.jpg"" width=""450"" height=""135; alt="" /></a>\n\nSEEN IN TRAVELER\'S PHOTOS Flickr Group ', ""Marvelous symmetry! I feel like I'm looking into a kaleidoscope. "", '&quot;Thanks for sharing&quot;\n\n<a href=""https://www.flickr.com/groups/460979@N25/""><img src=""https://farm9.staticflickr.com/8240/8455177079_51f388749c.jpg"" width=""450"" height=""135; alt="" /></a>\n\nSEEN IN TRAVELER\'S PHOTOS Flickr Group ', 'eine wunderbare Aufnahme ', 'die ist richtig super 👍 ', '!!!!!!!!!!!!!\nWas für eine Symmetrie!\nEine ausgezeichnete Aufnahme!\nFotodaten wären interessant (Kamera, Objektive, Brennweite, Blende, Zeit, ISO, ....) ', 'Wonderful symmetry - perfectly framed :) ', 'Almost perfect 😄 ', 'Jetzt funktionierts, danke!\nDieses 10mm Objektiv muss ja ziemlich gut sein, so scharf?\nWelche Objektivmarke? ']",Karl Borromäus Kirche Churches Vienna Karl Borromäus Kirche Vienna highly recommend visiting countless beautiful churches Vienna Central Cemetery church Karl Borromäus beautiful example Art Nouveau architecture Vienna Bei einem Besuch Wien empfehle ich sich etwas Zeit für einige der unzähligen wunderschönen Kirchen Wien zu nehmen Die Friedhofskirche zum heiligen Karl Borromäus auf dem Wiener Zentralfriedhof ist ein wunderbares Beispiel für den Wiener Jugendstil karlborromäuskirche wien vienna church kirche lookup architektur architecture stkarlborromäus zentralfriedhof centralcemetary artnouveau jugendstil kuppel dome,arafed view of a dome with a blue sky in the center
54,53450661355,light shower,(Wien/Schweidlgasse),countrycodeat laterne licht lichtspur österreich schnee wien 52projects2024 flickr,48.226066,16.391716,0,https://live.staticflickr.com/65535/53450661355_4d67149dd4_c.jpg,34936566@N02,[],light shower Wien Schweidlgasse countrycodeat laterne licht lichtspur österreich schnee wien flickr,there is a light that is on a pole in the dark
