,title,category,Beschreibung,zip,description
0,21er Haus,museum,Das Museum wurde 2011 saniert und stellt unter der Leitung des Belvedere österreichische Kunst von 1945 bis heute aus.,1030,"The museum was renovated in 2011 and, under the direction of the Belvedere Austrian Art from 1945 to the present, exhibited."
1,A.E. Köchert,shopping,Dieser Traditions-Juwelier schmückt heute mit seinen Brillant-Sternen auch ungekrönte Häupter.,1010,This traditional jeweler also adorns uncrowned heads with its brilliant stars.
2,Aida,cafes,"Aida ist eine Wiener Konditoreikette. Das Design der 50er, 60er und 70er, opulente Süßspeisen, hervorragender Kaffee und viel Rosa sind die Zutaten zum Erfolg.",1010,"AIDA is a Viennese pastry chain.The design of the 50s, 60s and 70s, opulent desserts, excellent coffee and a lot of pink are the ingredients for success."
3,Akademietheater,musicstage,Seit 1922 ist das Akademietheater die zweite Spielstätte des Burgtheaters. Hier werden vor allem zeitgenössische Stücke gespielt.,1030,The Academy Theater has been the second venue of the Burgtheater since 1922.Contemporary pieces are particularly played here.
4,Albertina,museum,Die Albertina besitzt nicht nur eine der größten und wertvollsten grafischen Sammlungen der Welt mit Werken wie Dürers „Feldhase“ und Klimts Frauenstudien. Ihre neue Schausammlung präsentiert Meisterwerke der Moderne und spannt damit den Bogen von Monet über Picasso zu Baselitz.,1010,"The Albertina not only has one of the largest and most valuable graphic collections in the world with works such as Dürer's ""Feldhase"" and Klimt's women's studies.Your new show collection presents masterpieces of modernity and thus spans the arch from Monet via Picasso to Baselitz."
5,Altmann & Kühne,cafes,"Die „kleinste Verführung"" Wiens: handgefertigte Bonbons nach alten Originalrezepten (weltweiter Versand!). ",1010,"The ""smallest seduction"" of Vienna: handmade candies according to old original recipes (worldwide shipping!)."
6,Anna Sacher,restaurants,Facettenreich wie der Charakter seiner Namensgeberin präsentiert sich dieses 2-Hauben-Restaurant,1010,This 2-hood restaurant presents itself multifaceted like the character of his namesake
7,Anzenberger Gallery,museum,"Die 1989 gegründete Gallerie zeigt hauptsächlich internationale Künstler aus den Bereichen Photojournalismus, Dokumentation, Reportage und Portrait. ",1100,"The gallery, founded in 1989, mainly shows international artists from the fields of photojournalism, documentation, reportage and portrait."
8,Atelier 10,museum,"Das 2012 eröffnete Atelier bietet Künstlern, die aus sozialen Gründen, nicht selbständig in der Kunst bewegen können, Unterstützung. Neben Raum werden auch Materialen zur Verfügung gestellt.  ",1100,"The studio opened in 2012 offers supports artists who cannot move independently in art for social reasons.In addition to space, materials are also provided."
9,Az W – Architekturzentrum Wien,sightseeing,"Das Az W genießt mittlerweile in aller Welt eine hohe Reputation als Informations-, Wissens- und Forschungszentrum sowie als Architektursammlung. Hier werden die international aktuellen Leistungen der Architektur einer breiten Öffentlichkeit vermittelt und die nationale Architekturgeschichte des 20. und 21. Jahrhunderts kritisch beleuchtet. ",1070,"The AZ W now enjoys a high reputation all over the world as information, knowledge and research center as well as as an architectural collection.Here the international services of the architecture are conveyed to a general public and the national architectural history of the 20th and 21st centuries are critically highlighted."
10,B72,nightlife,"Eines der angesagtesten Lokale am Gürtel, unter der U-Bahn. Besonderheit: zweistöckig. Live-Musik und DJs",1080,"One of the hottest restaurants on the belt, under the subway.Special feature: two -story.Live music and DJs"
11,Babenberger Passage,nightlife,"In einer aufgelassenen Fußgänger-Unterführung hat sich ein Club der besonderen Art etabliert, der mit futuristischem Interieur besticht.",1010,"In an abandoned pedestrian underpass, a special club has established itself, which impresses with futuristic interior."
12,Backhausen,shopping,Geschenkartikel und Wohnaccessoires nach historischen Originalentwürfen. Wiener Traditionsunternehmen.,1010,Gifts and home accessories according to historical original designs.Traditional Vienna.
13,Badeschiff,nightlife,Am Oberdeck des fest verankerten Stadtbads auf zwei Schiffen verlockt der überdachte Pool zum Schwimmen im angenehm temperierten Wasser. Die wahre Attraktion verbirgt sich allerdings unter Deck: Der ehemalige Laderaum ist jetzt Dancefloor zum coolen Abtanzen unterhalb der Wasserlinie.,1010,"At the upper deck of the festival anchored urban bath on two ships, the covered pool tempts for swimming in the pleasantly tempered water.However, the real attraction is hidden below deck: the former cargo area is now dance floor for cool peeling below the waterline."
14,Barfly's,nightlife,"Eine Hotelbar nahe der Mariahilfer Straße, in der alles klassisch ist.",1060,"A hotel bar near Mariahilfer Straße, where everything is classic."
15,Burgtheater,musicstage,"Das Haus am Ring wurde 1874 bis 1888 nach den Plänen von Gottfried Semper und Karl von Hasenauer erbaut und ist auch heute noch eine der ersten Adressen für deutschsprachige Schauspielkunst. Führungen: in Deutsch und Englisch bzw. mit englischer Zusammenfassung, Dauer ca. 1 Stunde; andere Sprachen auf Anfrage.",1010,"The Haus am Ring was built from Gottfried Semper and Karl von Hasenauer from 1874 to 1888 and is still one of the first addresses for German -language acting.Guided tours: in German and English or with English summary, duration approx. 1 hour;Other spoke on request."
16,Café Berg,cafes,"Das Café und die daneben ansässige Buchhandlung ""Löwenherz"" sind fixer Treffpunkt der Wiener Homosexuellen-Community und ihrer Freunde.",1090,"The café and the ""Löwenherz"" bookstore, which is located next to it are a fixed meeting point for the Vienna homosexual community and its friends."
17,Café Central,cafes,"Das Café Central war immer wieder Heimat großer Dichter, Lenker und Denker. Der Charme des berühmtesten Kaffeehauses der Welt macht jeden Besuch zu einem besonderen kulinarischen Erlebnis.",1010,"The Café Central was always home to great poets, handlebars and thinkers.The charm of the world's most famous coffee house makes every visit a special culinary experience."
18,Café Diglas,cafes,"Ein Wiener Traditionscafé im Zentrum der Stadt. Hier wird Genuss groß geschrieben, vom Frühstück bis zum Dinner gibt’s zu jeder Tageszeit das passende Angebot.",1010,"A traditional Viennese café in the center of the city.This is very important here, from breakfast to dinner there is the right offer at any time of the day."
